OTUID,Kingdom,Phylum,Class,Order,Family,Genus,Species
d861c019d7546e5bfd4987558391203a,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
d86232b0a1ba9f2df614cd2eb9f70180,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,NA
d866a1967f09b6780925c05bb4ea9d51,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
d87b366776ca2eb16ccbd0f367612a32,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,NA
d87ea3827649cb9e076cf0b65ffbdcb0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
d8816ff70380ff2353efc0e67872b5c5,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,NA
d883396e2f1740a8723a46e2b0e05cd7,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinivibrio,NA
d886c58b4c402d7f38b0efab7eafb903,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,NA,NA
d888873e545b110012bbb9c10175c14c,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Sutterella,NA
d891cd646e51c999eb3251bab29addae,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,canimorsus
d897115ebc59a3d2f24bbc42554a3f6d,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],NA
d89c3add14984551e9d8e8ee7340775c,Bacteria,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Megamonas,NA
d89de09fadcc90fa19a25beddeae48c9,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii
d8a2e7dfc559e53a6c5d3a5a4b2e3821,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,ovatus
d8a64755c63c5865f3649c575df25a9d,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,NA
d8a75021a2fe1c758edb84955f42237b,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,NA
d8b0fb960176cecced9215fe9785c88e,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Kaistobacter,NA
d8b85441f5dc43f8e37b45d5ea63f80e,Bacteria,GN02,BD1-5,NA,NA,NA,NA
d8b97547d3c1a341338907e98cf86dff,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,plebeius
d8bd6173c632976904e4ea98d2cdcdf7,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,NA
d8be9ffacc0e1bb234ad41e2d1e97f14,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
d8d86e332779f6f58ed1d5f0853dd9cf,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,NA,NA
d8e0368be0d47baab19773a971a47c89,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,[Paraprevotellaceae],[Prevotella],NA
d8e14207ef2e21fc8318b025c2fe4a18,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,NA,NA,NA
d8e87ed9719ebffd5707e24c6bdc3d96,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,NA,NA
